time_utc,forecast_mw,baseline_mw,temp_fc_c,method,issued_utc,weather,target_date,actual_mw,err_model,err_baseline
2026-09-18 22:00:00+00:00,7197.8,7410.0,12.7,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7157.75,40.05000000000018,252.25
2026-09-18 23:00:00+00:00,7161.2,7247.5,12.6,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7001.5,159.69999999999982,246.0
2026-09-19 00:00:00+00:00,7020.6,7239.2,12.6,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,6860.5,160.10000000000036,378.6999999999998
2026-09-19 01:00:00+00:00,6906.0,7130.8,12.3,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,6784.0,122.0,346.8000000000002
2026-09-19 02:00:00+00:00,6841.0,7017.5,12.2,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,6834.0,7.0,183.5
2026-09-19 03:00:00+00:00,6904.8,7013.0,12.2,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,6814.25,90.55000000000018,198.75
2026-09-19 04:00:00+00:00,7023.9,7032.5,12.4,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7031.5,-7.600000000000364,1.0
2026-09-19 05:00:00+00:00,7117.6,7304.0,12.4,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7186.5,-68.89999999999964,117.5
2026-09-19 06:00:00+00:00,7437.1,7657.0,12.8,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7466.25,-29.149999999999636,190.75
2026-09-19 07:00:00+00:00,7708.0,7859.5,13.6,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7716.5,-8.5,143.0
2026-09-19 08:00:00+00:00,7756.9,7901.2,14.2,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,7935.25,-178.35000000000036,-34.05000000000018
2026-09-19 09:00:00+00:00,7721.0,8001.8,15.0,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8184.5,-463.5,-182.69999999999982
2026-09-19 10:00:00+00:00,7735.0,7855.8,15.2,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8188.5,-453.5,-332.6999999999998
2026-09-19 11:00:00+00:00,7708.3,7963.0,16.3,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8291.25,-582.9499999999998,-328.25
2026-09-19 12:00:00+00:00,7728.7,7920.8,16.0,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8299.5,-570.8000000000002,-378.6999999999998
2026-09-19 13:00:00+00:00,7709.9,7951.2,16.5,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8204.75,-494.85000000000036,-253.55000000000018
2026-09-19 14:00:00+00:00,7800.2,8105.2,17.1,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8167.25,-367.0500000000002,-62.05000000000018
2026-09-19 15:00:00+00:00,8065.3,8270.0,16.8,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8289.75,-224.44999999999982,-19.75
2026-09-19 16:00:00+00:00,8105.7,8323.2,16.3,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8246.5,-140.80000000000018,76.70000000000073
2026-09-19 17:00:00+00:00,8091.8,8300.2,15.9,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8253.25,-161.44999999999982,46.95000000000073
2026-09-19 18:00:00+00:00,7981.5,8177.0,15.6,model,2026-09-18T14:39Z,smhi 2026-09-18T14:15:00Z,2026-09-19,8199.75,-218.25,-22.75
